Channel_Text,Channel_Text_CN,Alarm_Information_Range_Low,Alarm_Information_Range_High,Alarm_Information_Unit,Parameter_Information_Alarm,Parameter_Information_Inhibit,Parameter_Information_Delayed,Safety_Protection_Set_Value,Remarks,Function_code,Function_code_type
DG3 Battery Voltage,三号柴油发电机组蓄电池电压,0.0,30.0,V,21V ↓,,,,Alarm state,3,int16
DG3 Engine Jacket Water Temperature,三号柴油发电机组缸套水温度,0.0,120.0,℃,102℃↑,,,,Alarm state,3,int16
DG3 Engine Jacket Water Pressure,三号柴油发电机组缸套水压力,0.0,500.0,kPa,41kPa↓,,,,Alarm state,3,int16
DG3 Engine Jacket Water Level,三号柴油发电机组缸套水液位,0.0,100.0,%,,,,,Alarm state,3,int16
DG3 Left Exhaust Gas Temperature,三号柴油发电机组左排气温度,-273.0,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG3 Right Exhaust Gas Temperature,三号柴油发电机组右排气温度,-273.0,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG3 Engine LO Pressure,三号柴油发电机组滑油压力,0.0,800.0,kPa,"
210kPa↓",,,"
180kPa↓",Alarm state,3,int16
DG3 Engine LO Temperature,三号柴油发电机组滑油温度,-273.0,1735.0,℃,"
110℃↑",,,,Alarm state,3,int16
DG3 Engine Starting Air Pressure ,三号柴油发电机组启动空气压力,0.0,1000.0,kPa,"
400kPa↓",,,,Alarm state,3,int16
DG3 Engine FO After Filter Pressure,三号柴油发电机组燃油压力,0.0,800.0,kPa,,,,,Alarm state,3,int16
DG3 Emergency Stop,三号柴油发电机组应急停止,,,,,,,,Alarm state,3,Bool
DG3 Safety System  Failure,三号柴油发电机组安全系统故障,,,,,,,,Alarm state,3,Bool
DG3 Control System Failure,三号柴油发电机组控制系统故障,,,,,,,,Alarm state,3,Bool
DG3 ECM General Alarm,三号柴油发电机组发动机控制模块通用报警,,,,,,,,Alarm state,3,Bool
DG3 Engine Start Failure,三号柴油发电机组启动故障,,,,,,,,Alarm state,3,Bool
DG3 Engine After Coolant Temperature,三号柴油发电机组冷却液温度,0.0,120.0,℃,60℃↑,,,,Alarm state,3,int16
DG3 Engine Speed Sensor Fault,三号柴油发电机组转速传感器故障,,,,,,,,Alarm state,3,Bool
G1 Engine Jacket Water Temperature Sensor Fault,三号柴油发电机组缸套水温度传感器故障,,,,,,,,Alarm state,3,Bool
DG3 Engine LO Pressure Sensor Fault,三号柴油发电机组滑油压力传感器故障,,,,,,,,Alarm state,3,Bool
DG3 Emergency Stop Sensor Fault,三号柴油发电机组应急停止传感器故障,,,,,,,,Alarm state,3,Bool
DG3 Overspeed Shutdown,三号柴油发电机组超速停车,0.0,2000.0,RPM,,,,2070RPM,Shutdown,3,Bool
DG3 Engine High Jacket Water Temperature Shutdown,三号柴油发电机组缸套水高温停车,0.0,120.0,℃,,,,107℃,Shutdown,3,Bool
DG3 Engine Low LO Pressure Shutdown,三号柴油发电机组滑油压力低停车,0.0,800.0,kPa,,,,82kPa,Shutdown,3,Bool
DG3 Engine Sea Water Pressure Low,三号柴油发电机组海水压力低,0.0,500.0,kPa,35kPa↓,,,,Alarm state,3,Bool
DG3 Engine Lub Filter Pressure Diff.,三号柴油发电机组滑油滤器压差,0.0,200.0,kPa,105kPa↑,,,,Alarm state,3,int16
DG3 Expansion Tank Level Low,三号柴油发电机组膨胀柜液位低,,,,,,,,Alarm state,3,Bool
DG3 Engine MAC Panel 24V Power Failure,三号柴油发电机组MAC报警板24V电源故障,,,,,,,,Alarm state,3,Bool
DG3 Cold Air Temperature,三号柴油发电机组冷风温度,0.0,200.0,℃,55℃↑,,,,Alarm state,3,int16
DG3 Warm Air Temperature,三号柴油发电机组热风温度,0.0,200.0,℃,100℃↑,,,,Alarm state,3,int16
DG3 Generator Bearing Temp NDE,三号柴油发电机组非驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG3 Generator Bearing Temp DE,三号柴油发电机组驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG3 Winding Temp Phase U,三号柴油发电机组U相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG3 Winding Temp Phase V,三号柴油发电机组V相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG3 Winding Temp Phase W,三号柴油发电机组W相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG3 Water Leakage ,三号柴油发电机组冷却水泄漏报警,,,,,,,,Alarm state,3,Bool
DG3 ALARM SYSTEM FAILIRE ,三号柴油发电机报警系统失效,,,,,,,,Alarm state,3,Bool
DG3 Expansion Tank Level Low ,三号柴油发电机组膨胀水柜低位报警,,,,,,,,Alarm state,3,Bool
DG4 Engine Load,四号柴油发电机组负载,0.0,100.0,%,,,,,,3,int16
DG4 Engine Speed,四号柴油发电机组转速,0.0,2000.0,RPM,,,,,,3,int16
DG4 Fuel Rate,四号柴油发电机组燃油消耗率,0.0,800.0,L/h,,,,,,3,int16
DG4 Battery Voltage,四号柴油发电机组蓄电池电压,0.0,30.0,V,21V ↓,,,,Alarm state,3,int16
DG4 Engine Jacket Water Temperature,四号柴油发电机组缸套水温度,0.0,120.0,℃,102℃↑,,,,Alarm state,3,int16
DG4 Engine Jacket Water Pressure,四号柴油发电机组缸套水压力,0.0,500.0,kPa,41kPa↓,,,,Alarm state,3,int16
DG4 Engine Jacket Water Level,四号柴油发电机组缸套水液位,0.0,100.0,%,,,,,Alarm state,3,int16
DG4 Left Exhaust Gas Temperature,四号柴油发电机组左排气温度,-273.0,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG4 Right Exhaust Gas Temperature,四号柴油发电机组右排气温度,-273.0,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG4 Engine LO Pressure,四号柴油发电机组滑油压力,0.0,800.0,kPa,"
210kPa↓",,,"
180kPa↓",Alarm state,3,int16
DG4 Engine LO Temperature,四号柴油发电机组滑油温度,-273.0,1735.0,℃,"
110℃↑",,,,Alarm state,3,int16
DG4 Engine Starting Air Pressure ,四号柴油发电机组启动空气压力,0.0,1000.0,kPa,"
400kPa↓",,,,Alarm state,3,int16
DG4 Engine FO After Filter Pressure,四号柴油发电机组燃油压力,0.0,800.0,kPa,,,,,Alarm state,3,int16
DG4 Emergency Stop,四号柴油发电机组应急停止,,,,,,,,Alarm state,3,Bool
DG4 Safety System  Failure,四号柴油发电机组安全系统故障,,,,,,,,Alarm state,3,Bool
DG4 Control System Failure,四号柴油发电机组控制系统故障,,,,,,,,Alarm state,3,Bool
DG4 ECM General Alarm,四号柴油发电机组发动机控制模块通用报警,,,,,,,,Alarm state,3,Bool
DG4 Engine Start Failure,四号柴油发电机组启动故障,,,,,,,,Alarm state,3,Bool
DG4 Engine After Coolant Temperature,四号柴油发电机组冷却液温度,0.0,120.0,℃,60℃↑,,,,Alarm state,3,int16
DG4 Engine Speed Sensor Fault,四号柴油发电机组转速传感器故障,,,,,,,,Alarm state,3,Bool
G1 Engine Jacket Water Temperature Sensor Fault,四号柴油发电机组缸套水温度传感器故障,,,,,,,,Alarm state,3,Bool
DG4 Engine LO Pressure Sensor Fault,四号柴油发电机组滑油压力传感器故障,,,,,,,,Alarm state,3,Bool
DG4 Emergency Stop Sensor Fault,四号柴油发电机组应急停止传感器故障,,,,,,,,Alarm state,3,Bool
DG4 Overspeed Shutdown,四号柴油发电机组超速停车,0.0,2000.0,RPM,,,,2070RPM,Shutdown,3,Bool
DG4 Engine High Jacket Water Temperature Shutdown,四号柴油发电机组缸套水高温停车,0.0,120.0,℃,,,,107℃,Shutdown,3,Bool
DG4 Engine Low LO Pressure Shutdown,四号柴油发电机组滑油压力低停车,0.0,800.0,kPa,,,,82kPa,Shutdown,3,Bool
DG4 Engine Sea Water Pressure low,四号柴油发电机组海水压力低,0.0,500.0,kPa,35kPa↓,,,,Alarm state,3,Bool
DG4 Engine Lub Filter Pressure Diff.,四号柴油发电机组滑油滤器压差,0.0,200.0,kPa,105kPa↑,,,,Alarm state,3,int16
DG4 Expansion Tank Level Low,四号柴油发电机组膨胀柜液位低,,,,,,,,Alarm state,3,Bool
DG4 Engine MAC Panel 24V Power Failure,四号柴油发电机组MAC报警板24V电源故障,,,,,,,,Alarm state,3,Bool
DG4 Cold Air Temperature,四号柴油发电机组冷风温度,0.0,200.0,℃,55℃↑,,,,Alarm state,3,int16
DG4 Warm Air Temperature,四号柴油发电机组热风温度,0.0,200.0,℃,100℃↑,,,,Alarm state,3,int16
DG4 Generator Bearing Temp NDE,四号柴油发电机组非驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG4 Generator Bearing Temp DE,四号柴油发电机组驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG4 Winding Temp Phase U,四号柴油发电机组U相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG4 Winding Temp Phase V,四号柴油发电机组V相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG4 Winding Temp Phase W,四号柴油发电机组W相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG4 Water Leakage ,四号柴油发电机组冷却水泄漏报警,,,,,,,,Alarm state,3,Bool
DG4 ALARM SYSTEM FAILIRE ,四号柴油发电机报警系统失效,,,,,,,,Alarm state,3,Bool
DG4 Expansion Tank Level Low ,四号柴油发电机组膨胀水柜低位报警,,,,,,,,Alarm state,3,Bool
